Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-04-12;0;964,5;20,9;29,9;25,3;22,9;77,5;57;8;1,9;
2010-04-13;0;965,5;21,3;31,3;25,6;22,8;78,1;52;7,9;1,4;
2010-04-14;7,2;965,6;21,8;31,7;25,7;22,1;80,8;49;9,4;1,4;
2010-04-15;0;964,6;21,5;31,5;26,1;22,1;77,2;52;7,1;1,6;
2010-04-16;0;964,4;20,9;32;27;22,6;70,6;48;7,2;1,8;
2010-04-17;0;965,4;21,1;32,5;27,2;23,5;70,4;48;8,8;1,7;
2010-04-18;25;966,9;22;31,4;26;22,2;80,1;53;9,9;1,5;
2010-04-19;0;967;20,9;31,3;26,5;23,1;72,6;49;9;1,8;
2010-04-20;0;965,4;19,3;31,8;26,6;23,1;65;47;11,6;2,3;
2010-04-21;0;965,6;20,1;31,9;26,3;22,7;69,9;47;6,9;1,5;
2010-04-22;0;965,5;20,6;32,1;25,8;20,6;75;48;6,7;1,4;
2010-04-23;0;966;21,8;31,8;26,3;23,1;77,9;50;6,4;1,4;
2010-04-24;,2;965,9;20,4;31,9;25,9;21,7;74,2;46;9,3;1,7;
2010-04-25;0;965,3;20,4;31,6;25,8;21;73,3;49;8;1,6;
2010-04-26;0;965,8;19;32,1;26,3;20,7;67;36;6,6;1,5;
2010-04-27;0;966,7;19,4;31,8;26,4;22,3;66,3;45;7,3;1,6;
2010-04-28;0;965,7;19,7;32,1;26,3;20,1;69;46;7,2;1,5;
2010-04-29;0;966,1;19,5;32,4;26,6;23,2;66,1;40;7,9;1,6;
2010-04-30;0;965,6;19,1;32,8;25,7;20,4;69;41;6,1;1,3;
2010-05-01;0;965,9;19,1;32,3;25,9;21,8;67,5;42;7,1;1,4;
2010-05-02;0;966,2;19,3;33;25,3;18,4;71,4;39;7,9;1,1;
2010-05-03;0;966,6;19,2;31,3;26,2;22,5;66,4;48;9,5;2;
2010-05-04;0;965,2;20,3;32,6;27,1;23,2;67,6;43;11;2,2;
2010-05-05;0;965;20,3;32,9;26,4;23,4;70,5;41;11,5;1,3;
2010-05-06;1,6;965,8;20,6;32,8;26,6;22,7;72;39;6,7;1,4;
2010-05-07;,4;966,2;19,2;32,6;26,4;21,7;66;43;8,6;2,3;
2010-05-08;0;966,1;19,5;30,3;25,7;20,6;69,3;51;9,2;1,9;
2010-05-09;0;965,5;20,6;33,1;26,2;22;72,7;42;7,4;1,2;
2010-05-10;0;964,4;18,7;33,3;25,8;18,7;67,7;34;5,3;1,1;
2010-05-11;0;965;19,8;32,6;25,1;18,7;75;45;10;1,4;
2010-05-12;,2;964,8;19,5;33,7;25,8;20,1;71,4;39;5,5;1;
2010-05-13;0;965,8;21,5;31,1;25,8;21,9;78;56;5,9;1;
2010-05-14;11,4;966,8;22,3;31,7;26,4;23,2;80,2;52;6,1;1,4;
2010-05-15;,2;966,2;19,7;31,1;26,2;21,3;69,3;43;8,6;2,1;
2010-05-16;0;965,7;19,3;31,5;26,1;20,6;67,4;50;8;2;
2010-05-17;0;965,7;19,5;32,1;25,9;20,6;69,9;36;6,7;1,8;
2010-05-18;0;965,7;18,2;32,2;26,2;22,1;62,8;36;9,1;2,1;
2010-05-19;0;966,1;19,6;30,1;25;22,7;73,5;50;9,8;1,6;
2010-05-20;0;965,3;18,2;32,5;25;18,6;68;34;9,1;1,3;
2010-05-21;0;965,1;19,2;33,9;25,8;19,4;69,2;37;7,5;1,6;
2010-05-22;0;964,2;20;33,2;25,6;21,6;73,9;39;4,4;,9;
2010-05-23;0;964;21;33,1;25,8;21,2;76,2;47;5,3;1;
2010-05-24;4;963,9;20,9;33,1;26,7;22,7;73,3;41;6,4;1,5;
2010-05-25;0;965,2;18,7;32,4;26,8;21;62,6;40;13,2;2,1;
2010-05-26;0;965,1;18;33,6;27,2;22;59;33;8,2;1,7;
2010-05-27;0;965,6;18,9;32,7;26,7;22,4;63,8;38;7,2;1,7;
2010-05-28;0;965,9;18,7;32,5;26,3;21,1;64,6;43;6,5;1,5;
2010-05-29;0;965,9;18,8;33,2;26,8;20,9;63;40;6,8;1,7;
2010-05-30;0;967,2;19,4;32,8;27,3;23,4;63,5;42;7,5;1,7;
2010-05-31;0;968,1;19,9;33,4;25,4;19,8;73,4;40;7,4;1,1;
2010-06-01;0;968,4;20,5;33;26,4;21,8;72;43;5,3;1;
2010-06-02;22,6;968;20,8;28,8;24,9;21,8;79;57;8,3;1,5;
2010-06-03;0;968,7;20,2;29,6;25,2;22,7;74,4;59;10,4;2,8;
2010-06-04;0;969,8;18,6;28,1;24,3;21,8;70,4;59;11,4;2,6;
2010-06-05;,6;970;18,1;28,8;23,8;20,5;71,1;53;7,9;1,9;
2010-06-06;0;968,3;18,7;32,2;24,3;18,1;73,4;41;5,7;1;
2010-06-07;0;968,2;19,2;33,9;25,8;19,2;70;36;5,5;1,1;
2010-06-08;,8;968,9;18,2;32,6;26,6;21,9;62,7;31;6,6;1,8;
2010-06-09;0;969,2;18,2;28,9;25,2;20,6;65,9;51;9,4;2,4;
2010-06-10;0;968,4;18,1;31,4;25,1;19,3;66,7;40;11;2,3;
2010-06-11;0;968,8;18,4;30,6;24,9;19,8;68,2;43;9,4;2,1;
2010-06-12;0;968,7;17,2;31,4;25,4;20,3;62,3;37;10;2,4;
2010-06-13;0;969,1;18;28;24,2;21,7;68,7;53;10,1;2,5;
2010-06-14;0;969,3;16,5;28,4;23,7;20,5;65;45;9,7;2,5;
2010-06-15;0;969,3;17;28,3;24,1;20,2;65;51;10,8;3;
2010-06-16;0;968,7;18,1;28,6;24,7;21,6;67,1;52;11,4;2,5;
2010-06-17;,4;967,5;19;28,4;24,5;21,5;71,6;58;9,7;2,6;
2010-06-18;,2;966,9;20,1;29;24,7;21,6;76,7;57;9,1;1,7;
2010-06-19;0;966,3;19,2;30,8;25,2;21;70,6;48;9,1;1,7;
2010-06-20;0;965,8;18;31,4;25,6;21;64,2;43;9,1;2,6;
2010-06-21;0;966,1;15,2;33;25,5;18,9;56,3;25;10,4;2;
2010-06-22;0;966,8;17,7;34,1;25,6;17,9;65,8;31;8;1,4;
2010-06-23;0;968,4;20;31,2;24,4;20,4;78,1;47;8,5;1,4;
2010-06-24;5,4;969,9;17,8;29,2;23,9;19,2;70,6;45;11,7;2,5;
2010-06-25;0;969,7;17,8;28,8;23,9;18,3;69;52;10,8;2,9;
2010-06-26;0;967,8;14,3;32,2;24,8;18,5;56,2;27;10,8;2,7;
2010-06-27;0;967,7;19,1;27,6;23,6;21,1;76,6;60;10;2,2;
2010-06-28;7,4;968,4;17,3;28,8;23,5;18,9;68,9;53;9,6;2,2;
2010-06-29;0;967,9;16;31,3;24,9;20,6;59,3;36;12,3;2,8;
2010-06-30;0;968,4;15,8;31,3;25;20,8;59,1;31;10,4;3;
2010-07-01;0;968,5;13,8;32;25,2;20,2;51,9;26;9,8;2,7;
2010-07-02;0;968;13,6;31,7;25,1;19,5;51,7;27;8,9;2,6;
2010-07-03;0;967,9;13,3;31,6;24,8;19,6;51,9;25;12;2,7;
2010-07-04;0;967,7;15,1;31,2;24,7;19,5;57,4;33;10,7;2,9;
2010-07-05;0;967,9;16,3;28,6;24,2;19,8;62,2;47;11,6;3;
2010-07-06;0;968,1;16,6;29,8;24,2;19,9;63,5;43;10,8;3;
2010-07-07;0;967,7;14,9;31,8;24,7;18,3;56,4;33;8,2;2,1;
2010-07-08;0;968;16,9;32,2;26,1;20,8;58;39;7,8;1,9;
2010-07-09;0;967,8;18;32,6;26,3;20,9;62,6;38;9,8;2,7;
2010-07-10;6;967,5;17,4;31,9;25,1;19,7;67,1;32;8,7;1,9;
2010-07-11;0;966,6;17,4;30,5;25;22,2;64,3;37;8;2,1;
2010-07-12;0;966,7;18,4;29,9;24,5;20,7;69,6;50;9,5;2,3;
2010-07-13;1;966,2;19,2;31,5;25,5;21,5;70,3;40;8,2;1,6;
2010-07-14;,2;967,1;17,3;31,7;25,3;20,3;64,6;31;7,6;1,5;
2010-07-15;,6;967,8;16,8;31,1;25,4;20,7;62,1;33;10,4;2,5;
2010-07-16;0;968,4;17,4;32,3;25,9;21;61;36;7,9;2;
2010-07-17;0;969,3;17,9;32,6;26,2;22,2;62;38;9,8;2,4;
2010-07-18;0;969,4;16,5;30,5;24,9;19,7;60,8;38;10,3;2,6;
2010-07-19;0;969,9;16;29,9;24,2;20,3;61,6;39;11,2;2,4;
2010-07-20;0;969,6;14;32,3;25,2;19,5;53,7;22;12,1;2,9;
2010-07-21;0;969,9;16,5;30,7;24,3;18,9;63;38;9,3;2,5;
2010-07-22;0;970;16;30,8;24,9;20;59,6;39;10,8;2,8;
2010-07-23;0;970,4;16,2;31,1;24,8;20,4;59,5;40;12,4;3,1;
2010-07-24;0;969,6;13,7;32,1;25;19,3;52,4;27;10,9;2,9;
2010-07-25;0;968,9;14,4;31,7;25,3;20,2;52,3;35;11,7;3,1;
2010-07-26;0;968,6;15,1;31;null;20,6;54,6;38;10,7;3;
2010-07-27;null;null;null;null;null;null;47,9;32;11,3;null;
2010-07-28;null;null;null;null;null;null;null;31;13,7;null;
2010-07-29;null;null;null;null;null;null;42,1;24;11,6;null;
2010-07-30;null;null;null;29,5;null;20,7;62,4;47;15,8;null;
2010-07-31;0;966;14,5;31,9;24,9;20;54,7;30;12,5;2,8;
2010-08-01;0;966,2;14,5;32,2;24,9;17,4;55,1;31;9,8;2,4;
2010-08-02;0;967,1;13,8;33,3;25,4;19,8;51,8;26;11;3,2;
2010-08-03;0;null;null;31,2;null;20,3;58,9;28;11,2;null;
2010-08-04;null;968;15,2;31,4;24,7;20,4;57,4;32;10,7;2,8;
2010-08-05;0;968;15,7;32,4;25,2;19,9;57,6;32;11,2;2,9;
2010-08-06;0;967,6;12,4;33,2;25,7;19,9;46,9;23;8,8;2,5;
2010-08-07;0;968,9;13,7;32,7;25,9;19,5;50,4;24;7,8;1,9;
2010-08-08;0;969,9;14,2;32;25;18;53,9;28;10,1;2,4;
2010-08-09;0;969,3;14,4;32,4;25,5;20,4;52,9;30;11;2,4;
2010-08-10;0;969,9;15,6;30,5;24,5;20,6;59,3;34;9;2,7;
2010-08-11;0;970,8;12,1;32,2;25,3;19,3;46,8;22;11,1;3,1;
2010-08-12;0;970,3;11,5;33;25,4;19,6;44,5;22;11,7;3,2;
2010-08-13;0;969,6;13,4;32,7;25,5;20,4;49,6;25;10,8;2,8;
2010-08-14;0;968,1;16,6;31,3;25;21,4;61,1;39;12;2,6;
2010-08-15;0;967,7;15;33,4;25,1;17,3;58,1;26;9,2;2;
2010-08-16;0;968;14,3;34,4;26,5;18,3;50,1;26;9,4;2,1;
2010-08-17;0;969,7;14,5;31,6;25,5;21;51,4;34;13,3;3,7;
2010-08-18;0;970;15,1;29,3;23,8;20,6;59;37;11,5;3,3;
2010-08-19;0;969,1;13,1;29,7;23;19;55,7;32;12,2;3,3;
2010-08-20;0;969;13,3;30,6;23,6;18;54,6;32;10,8;3,1;
2010-08-21;0;969,2;13,8;33;25,1;19,1;53;26;10;3;
2010-08-22;0;969,9;15,5;31,9;24,9;19,9;58;31;10,8;2,5;
2010-08-23;0;968,7;13,7;31,8;25,1;19,5;51,7;28;9,9;2,6;
2010-08-24;0;967,9;14,7;33,6;26;19,3;52,5;27;9,1;2,9;
2010-08-25;0;967,9;13,5;33,5;26;20,2;49,3;26;10,5;3,1;
2010-08-26;0;967,9;14,4;34;26,2;20,6;51;27;10,6;2,8;
2010-08-27;0;967,2;14,2;33,6;26,7;19,8;49,3;25;12,1;2,8;
2010-08-28;0;966,8;15,1;34;26,5;19,5;52,3;28;9,9;2,5;
2010-08-29;0;967;15,2;33,5;26,6;20,6;52;30;9;2,6;
2010-08-30;0;967,7;13,3;32,7;25,9;20,7;48,4;25;12;3,2;
2010-08-31;0;967,6;14,6;32,7;25,9;20,1;52,1;29;9,7;2,8;
2010-09-01;0;967,9;15,3;32,4;25,7;21;54,8;31;13,3;4,1;
2010-09-02;0;968,8;14,8;32;25,2;20,7;55,6;26;12,2;3,5;
2010-09-03;0;969;13,4;33;25,4;19,3;51,1;23;12,4;3;
2010-09-04;0;968,5;14,8;33,3;25,8;20;53,2;29;10,7;2,9;
2010-09-05;null;null;null;34,2;null;22,2;37,2;24;11;null;
2010-09-06;0;968,7;10,5;33,8;25,8;18,7;42,1;17;11,8;3,3;
2010-09-07;0;968,8;11,6;33,2;25,9;18,8;44,7;18;10,2;2,8;
2010-09-08;0;967,5;12,9;33,1;25,6;18,3;49,4;23;8,8;2,1;
2010-09-09;0;967,5;13,5;34,8;26,9;19,4;46,6;23;9,7;2;
2010-09-10;0;968,5;13,9;33,6;27,2;22,4;47;25;12,9;3,3;
2010-09-11;0;968,6;15,3;30,5;24,8;20,6;56,7;36;11,9;3,6;
2010-09-12;,4;967,9;16,3;31,4;24,5;19;63,5;35;10,7;2,8;
2010-09-13;0;967;16,9;32,5;26,4;21,8;57,5;37;11,5;3,5;
2010-09-14;0;967,9;17,6;31,9;26;21,6;61,5;36;11,7;3,4;
2010-09-15;null;966,7;13,6;34,1;null;22,9;43,7;24;9,7;3,2;
2010-09-16;null;null;null;33,8;null;21,2;35,4;21;9,7;null;
2010-09-17;0;966;13,1;34,4;26,5;20,1;47,6;20;11;2,6;
2010-09-18;0;966,9;11,8;34,6;26,7;17,8;43,9;19;13,1;1,9;
2010-09-19;0;967,1;14;32,8;26,7;21,7;48,3;25;11,6;2,9;
2010-09-20;0;966,6;12,6;33,3;26,4;20,1;46;18;14,5;3,2;
2010-09-21;0;966,3;12,5;34,5;26,6;19,2;45,8;17;11,7;2,9;
2010-09-22;0;966,6;13,8;34,7;27;20,9;47,8;21;12,6;2,9;
2010-09-23;0;966,7;12,7;35,2;27,2;19,3;45,4;15;14,3;2,9;
2010-09-24;null;null;null;null;null;null;28,5;18;10,4;null;
2010-09-25;null;null;null;null;null;null;34,3;25;8,9;null;
2010-09-26;null;null;null;null;null;null;36,2;24;11,1;null;
2010-09-27;0;964,4;11,7;35,8;28,2;21,6;39,9;17;10,5;2,4;
2010-09-28;0;963;12,1;36,6;27,8;17,7;40,7;18;8,9;1,6;
2010-09-29;0;963,2;14,7;36,8;28,6;22,9;47,7;18;7,2;1,7;
2010-09-30;0;964;14,7;37,5;28,2;21;48,6;20;7;1,4;
2010-10-01;0;964,1;14,8;36,5;28,5;23;47,5;19;7,3;1,4;
2010-10-02;0;964,5;13,9;36,5;28,2;22,2;45,6;18;9,4;1,5;
2010-10-03;0;964,8;11,7;38,4;30,4;20,7;37,3;12;8,9;2,1;
2010-10-04;0;966,2;12,1;37,2;29,1;19,9;38,6;13;9,8;2,6;
2010-10-05;0;966,3;13,1;34,6;27,6;20,7;44,1;20;10,4;2,6;
2010-10-06;0;965,5;10,8;37,4;28,2;19,1;39,8;12;8,1;1,7;
2010-10-07;0;965,9;10,6;37,8;28,7;18,8;37,6;12;11,5;1,8;
2010-10-08;0;967,5;13,5;35,5;27,3;21,2;46,5;19;6,7;1,5;
2010-10-09;0;966,8;13;36,9;27,5;19,3;44,8;19;9,4;1,5;
2010-10-10;0;966,4;12,9;36,5;27,4;18,8;44,9;17;7,5;1,5;
2010-10-11;0;966,2;14,5;35,6;29;23,5;44,1;22;8,9;2,6;
2010-10-12;0;966;13,9;36,8;29,2;22,8;43,3;17;10,6;2,1;
2010-10-13;0;966,1;12,3;36,6;28,6;20;41,3;15;9,4;2;
2010-10-14;0;967;13,5;35,4;28,3;21,6;43,2;21;10,5;3,1;
2010-10-15;0;966,1;13;35,6;28,1;20,1;42,4;20;14,1;3;
2010-10-16;0;965,6;12,7;35,1;28,1;20,7;42,2;21;11,1;2,7;
2010-10-17;0;964,8;13,2;35,9;28,6;21,1;41,3;21;9,1;2,2;
2010-10-18;0;964,7;14,7;37,3;29,8;22,8;43,8;14;8;1,9;
2010-10-19;0;964,9;16,9;34,8;28,3;23,9;52;30;6,3;1,7;
2010-10-20;0;965;16,6;35,2;28;23,5;52,8;26;5,4;1,5;
2010-10-21;0;965;17,6;35;28,6;23,9;53,1;32;6,6;1,5;
2010-10-22;16,4;964,9;21,2;29,9;24,4;21,2;82,8;48;7,7;1,4;
2010-10-23;3,2;964,5;20,5;29,9;25,4;23,1;75,6;49;8,3;1,6;
2010-10-24;,2;964,1;19,8;32;25,4;21,9;73,5;44;9,4;1,5;
2010-10-25;,6;962,4;19,8;34,1;26,5;21,3;69,4;39;7,1;1,3;
2010-10-26;,2;963;19,9;31,6;26,5;22,6;68,8;45;7,6;1,7;
2010-10-27;4,6;963,4;20,4;31,3;25,2;21,6;76,3;46;7,7;1,2;
2010-10-28;,2;963,8;19,9;29,6;25,5;21,2;72,2;52;5,7;1,2;
2010-10-29;0;964,2;19,7;32,1;25,9;22,6;70;45;7,7;1,4;
2010-10-30;,2;964,8;19,2;33,5;26,7;22,4;66,3;37;9;1,6;
2010-10-31;0;965,2;15,8;33,7;26,9;21,7;55,3;25;8,6;1,9;
2010-11-01;0;966;15,1;34,2;26,7;20,3;51,4;27;7,8;1,6;
2010-11-02;0;963,9;14,7;34,8;26,2;18,2;52,5;23;7,5;1,5;
2010-11-03;0;963,1;15,8;35,7;26,8;18,8;55;25;6,3;1,5;
2010-11-04;0;964,1;15,5;34,8;27,5;22,4;53,4;16;9,1;1,9;
2010-11-05;0;965,3;15,9;34;27,8;21,8;50,5;29;9;2;
2010-11-06;0;964,9;15;33,9;27,6;22,4;48,3;24;8,6;2,2;
2010-11-07;0;964,5;15,4;34,8;27,2;21;50,9;27;8,7;1,9;
2010-11-08;0;964,4;15,1;35,1;28;21,2;48,4;25;14,6;2,1;
2010-11-09;0;963,6;14,4;33,7;27,1;21,7;47,8;25;12;3,4;
2010-11-10;0;964,5;11,5;33,7;26,5;18,6;41,8;21;8,1;2,1;
2010-11-11;0;965,3;14,8;34,5;26,9;19,7;49,4;27;8,2;1,7;
2010-11-12;0;965,4;15,6;35;27,7;21,7;50,7;24;9;1,8;
